period,total_value,differenced
2019-07-17,659792,-52239.0
2019-07-18,649239,-10553.0
2019-07-19,638240,-10999.0
2019-07-20,606016,-32224.0
2019-07-21,630068,24052.0
2019-07-22,729803,99735.0
2019-07-23,767553,37750.0
2019-07-24,771954,4401.0
2019-07-25,767021,-4933.0
2019-07-26,778267,11246.0
2019-07-27,719588,-58679.0
2019-07-28,735707,16119.0
2019-07-29,780900,45193.0
2019-07-30,700537,-80363.0
2019-07-31,699974,-563.0
2019-08-01,680870,-19104.0
2019-08-02,704719,23849.0
2019-08-03,693442,-11277.0
2019-08-04,698482,5040.0
2019-08-05,781547,83065.0
2019-08-06,764462,-17085.0
2019-08-07,701688,-62774.0
2019-08-08,652237,-49451.0
2019-08-09,629214,-23023.0
2019-08-10,568192,-61022.0
2019-08-11,555133,-13059.0
2019-08-12,653782,98649.0
2019-08-13,717628,63846.0
2019-08-14,756594,38966.0
2019-08-15,776948,20354.0
2019-08-16,727699,-49249.0
2019-08-17,608232,-119467.0
2019-08-18,571779,-36453.0
2019-08-19,646478,74699.0
2019-08-20,691739,45261.0
2019-08-21,698668,6929.0
2019-08-22,694442,-4226.0
2019-08-23,680079,-14363.0
2019-08-24,649089,-30990.0
2019-08-25,639776,-9313.0
2019-08-26,762209,122433.0
2019-08-27,777189,14980.0
2019-08-28,746128,-31061.0
2019-08-29,715603,-30525.0
2019-08-30,723274,7671.0
2019-08-31,674452,-48822.0
2019-09-01,646603,-27849.0
2019-09-02,674425,27822.0
2019-09-03,782859,108434.0
2019-09-04,807106,24247.0
2019-09-05,810990,3884.0
2019-09-06,761821,-49169.0
2019-09-07,632650,-129171.0
2019-09-08,535497,-97153.0
2019-09-09,590588,55091.0
2019-09-10,581093,-9495.0
2019-09-11,580603,-490.0
2019-09-12,641368,60765.0
2019-09-13,676124,34756.0
2019-09-14,630473,-45651.0
2019-09-15,561858,-68615.0
2019-09-16,573123,11265.0
2019-09-17,572115,-1008.0
2019-09-18,565169,-6946.0
2019-09-19,538326,-26843.0
2019-09-20,524071,-14255.0
2019-09-21,501429,-22642.0
2019-09-22,501463,34.0
